Indicadores municipales de sostenibilidad: Superficie municipal de especial protección (% superficie total);;;;;;;;;;;;;;;;;;
"";;;;;;;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;;;;;;
48046;Gernika-Lumo;4,86;4,86;4,86;4,86;4,86;4,83;4,83;4,83;4,83;4,83;4,83;4,83;4,85;4,85;4,85;4,83;4,89
20039;Getaria;28,98;28,98;29,01;29,01;29,01;29,01;29,01;29,28;29,28;29,30;29,28;29,28;30,13;30,13;30,13;30,13;29,62
48044;Getxo;5,94;5,94;5,94;5,94;5,94;5,95;5,95;5,95;5,95;5,95;9,69;1,99;1,97;1,97;1,97;1,97;1,97
48047;Gizaburuaga;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
48042;Gordexola;8,50;8,50;8,50;8,50;8,50;8,50;8,50;22,50;22,50;8,51;8,51;8,51;8,52;8,52;8,52;8,53;8,53
48043;Gorliz;59,08;59,08;59,08;59,08;59,08;59,08;59,08;59,08;59,08;59,08;53,26;59,45;58,24;58,24;58,24;58,25;58,54
48045;Güeñes;3,08;3,08;3,08;3,08;3,08;3,08;3,08;3,08;3,08;3,08;3,08;3,08;3,10;3,10;3,10;3,10;16,80
01056;Harana/Valle de Arana;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
20040;Hernani;23,55;23,55;23,56;23,59;23,59;23,59;23,59;23,59;23,59;23,59;23,60;23,60;2,20;2,16;2,16;2,16;7,25
20041;Hernialde;46,74;46,74;46,74;46,74;46,74;46,74;47,82;46,56;34,74;34,74;34,57;34,57;34,40;34,40;34,33;34,33;34,33
20036;Hondarribia;55,48;55,48;0,00;49,56;49,56;49,56;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
20042;Ibarra;22,28;22,28;22,28;22,28;22,28;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
48048;Ibarrangelu;55,84;55,84;55,84;55,84;55,84;55,84;55,84;55,84;55,87;55,94;56,02;56,15;50,96;50,96;50,96;51,00;51,00
20043;Idiazabal;6,58;61,08;61,08;61,08;61,08;61,08;61,08;61,08;61,09;61,09;61,09;61,05;61,01;60,97;60,97;61,34;61,34
48094;Igorre;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;0,98;0,98;0,98;0,97;0,97;0,97;0,97;0,97
20044;Ikaztegieta;6,49;6,49;6,29;6,29;6,29;6,29;6,63;6,63;6,63;6,63;6,73;6,73;6,80;0,00;0,00;0,00;0,00
20045;Irun;22,48;22,48;22,48;22,48;22,48;22,48;22,47;22,47;23,29;23,29;23,29;23,29;23,00;22,48;22,48;22,50;22,50
20046;Irura;17,10;17,10;17,10;17,10;17,10;17,10;17,10;17,10;17,10;17,10;17,41;17,41;17,53;17,53;17,53;0,00;0,00
01027;Iruraiz-Gauna;7,45;7,45;7,45;7,45;7,45;7,45;7,45;7,45;7,45;7,45;7,46;7,46;7,44;7,44;7,44;7,45;7,45
01901;Iruña Oka/Iruña de Oca;0,67;0,67;0,67;0,67;0,67;0,67;0,67;0,67;0,67;0,67;0,67;0,67;0,67;0,67;0,67;0,67;0,67
48049;Ispaster;8,56;8,56;8,56;8,56;8,56;8,56;8,56;8,56;8,56;8,57;8,57;8,57;8,67;8,67;8,67;8,67;8,67
20047;Itsasondo;28,57;28,57;28,57;28,57;28,57;28,68;28,68;28,68;28,68;28,68;28,65;28,65;28,81;60,96;60,96;60,96;60,96
48910;Iurreta;39,07;39,07;39,07;39,07;39,07;39,12;39,18;39,18;39,18;39,18;39,18;39,18;39,28;38,86;38,86;38,86;38,87
48050;Izurtza;28,14;28,14;28,14;28,14;28,14;28,14;9,31;9,31;28,07;28,07;28,07;28,07;28,47;28,47;28,47;28,47;28,47
48022;Karrantza Harana/Valle de Carranza;27,60;27,60;27,60;27,60;27,60;27,60;27,60;27,60;27,60;27,60;27,60;27,56;27,62;27,62;27,62;27,62;27,62
48907;Kortezubi;17,44;17,44;17,44;17,44;17,44;17,50;17,50;17,50;17,50;17,50;17,50;17,50;17,38;17,22;17,22;17,22;17,22
